state,literacy_rate(%),numeracy_rate(%),illiteracy_rate(%),pop_with_b_degree(%),bank_branches_in_2023,branches_per_100000_residents,employment_rate(%),civilian_labour_force,unemployed_population,children_0_to_18(%),adults_19_to_25(%),adults_26_to_34(%),adults_35_to_54(%),adults_55_to_64(%),65+(%)
Alabama,0.761,0.626,0.239,0.166,1329,26.6,0.556,2293693,58913,0.233,0.088,0.117,0.249,0.132,0.181
Alaska,0.873,0.792,0.127,0.209,112,15.2,0.631,361918,16661,0.255,0.088,0.134,0.253,0.13,0.139
Arizona,0.766,0.668,0.234,0.198,986,13.9,0.589,3595506,125050,0.23,0.095,0.123,0.243,0.12,0.19
Arkansas,0.769,0.643,0.231,0.159,1209,40.2,0.551,1354290,45636,0.243,0.092,0.111,0.249,0.127,0.177
California,0.716,0.64,0.284,0.221,5729,14.5,0.596,19348044,783822,0.231,0.089,0.134,0.266,0.122,0.159
Colorado,0.834,0.752,0.166,0.274,1333,23.3,0.669,3257886,111878,0.221,0.09,0.142,0.27,0.12,0.158
Connecticut,0.828,0.74,0.172,0.232,947,26.3,0.618,1905529,77702,0.216,0.083,0.115,0.258,0.145,0.184
Delaware,0.797,0.688,0.203,0.206,218,22.2,0.584,500666,22331,0.217,0.074,0.118,0.237,0.143,0.211
District of Columbia,0.777,0.661,0.223,0.252,187,27.4,0.686,385046,19816,0.198,0.089,0.198,0.284,0.096,0.134
Florida,0.763,0.652,0.237,0.206,4217,19.8,0.574,10705514,292609,0.204,0.08,0.113,0.251,0.137,0.216
Georgia,0.764,0.634,0.236,0.209,2006,18.9,0.605,5278849,149654,0.246,0.092,0.121,0.265,0.125,0.151
Hawaii,0.841,0.766,0.159,0.222,218,15,0.581,678994,27354,0.219,0.072,0.111,0.258,0.128,0.212
Idaho,0.836,0.743,0.164,0.202,417,23,0.608,956796,25697,0.257,0.09,0.116,0.249,0.118,0.171
Illinois,0.796,0.699,0.204,0.221,3538,27.6,0.617,6458390,290027,0.229,0.088,0.123,0.26,0.129,0.171
Indiana,0.813,0.705,0.187,0.185,1728,25.6,0.615,3401743,95218,0.243,0.092,0.119,0.249,0.128,0.168
Iowa,0.851,0.77,0.149,0.207,1385,43.6,0.658,1709545,44698,0.24,0.089,0.116,0.244,0.129,0.182
Kansas,0.831,0.75,0.169,0.22,1300,44.3,0.649,1501107,38170,0.252,0.094,0.114,0.244,0.124,0.173
